|ＡＮＡＳ|はこの区間をここ３０年間で徐々にアップグレードさせている。	{"comment": "", "curid": 1225116, "id": 844600, "match_segment_pos": "UNK", "match_segment_surf": "ＡＮＡＳ", "query": "ＡＮＡ", "type": "OK"}
|だ?けど?も|一緒にやりはじめて、なんかまだダメだな、もっともっと、って。	{"comment": "", "curid": 564398, "id": 1846318, "match_segment_pos": "接続詞", "match_segment_surf": "だけども", "query": "けども", "type": "OK"}
|だ?けど?もう|セカンド・アルバムになっちゃうと、慣れちゃってさ。	{"comment": "", "curid": 1759463, "id": 1846317, "match_segment_pos": "接続詞--副詞", "match_segment_surf": "だけど--もう", "query": "けども", "type": "OK"}
|だからこそ|決勝まで勝ち残ることができたのであり、この大会で何度も優勝している実績もある。	{"comment": "", "curid": 2562646, "id": 1834359, "match_segment_pos": "接続詞", "match_segment_surf": "だからこそ", "query": "こそ", "type": "OK"}
|だけど|一つだけ私の心を動かした。	{"comment": "", "curid": 1477188, "id": 1846324, "match_segment_pos": "接続詞", "match_segment_surf": "だけど", "query": "けど", "type": "OK"}
|だけど|私に対しては別だった。	{"comment": "", "curid": 227095, "id": 1846346, "match_segment_pos": "接続詞", "match_segment_surf": "だけど", "query": "けど", "type": "OK"}
|だって|、その方が間違いなくおもしろいじゃん。	{"comment": "", "curid": 3042327, "id": 1846396, "match_segment_pos": "接続詞", "match_segment_surf": "だって", "query": "だって", "type": "OK"}
|だって|以前がどうだったかを覚えてないからね。	{"comment": "", "curid": 3078547, "id": 1846416, "match_segment_pos": "接続詞", "match_segment_surf": "だって", "query": "だって", "type": "OK"}
|ちきりん|は|、ブロガー・著述家。	{"comment": "", "curid": 3507159, "id": 1846597, "match_segment_pos": "名詞", "match_segment_surf": "きりん", "query": "きり", "type": "NG_SEG"}
|つるせんねん|は、松竹芸能に所属していたお笑いコンビ。	{"comment": "", "curid": 1268264, "id": 1858583, "match_segment_pos": "名詞", "match_segment_surf": "つるせんねん", "query": "ねん", "type": "OK"}
|どついたるねん|は、日本のバンドである。	{"comment": "", "curid": 3240804, "id": 1876918, "match_segment_pos": "名詞--名詞", "match_segment_surf": "るね--ん", "query": "ねん", "type": "NG_SEG"}
|なあ|俺たちもう一回やりなおそうや、と彼は言った。	{"comment": "", "curid": 3116585, "id": 1878334, "match_segment_pos": "感動詞", "match_segment_surf": "なあ", "query": "なあ", "type": "OK"}
|なかなか|いい|器を使っているらしく、開けようとしたら蓋が吸い付いて動かない。	{"comment": "", "curid": 1262667, "id": 1935376, "match_segment_pos": "副詞--形容詞", "match_segment_surf": "なかなか--いい", "query": "かい", "type": "OK"}
|なぜ|か|しらす?隊|に混ざった蟹。	{"comment": "", "curid": 3060389, "id": 1935743, "match_segment_pos": "助詞", "match_segment_surf": "かしら", "query": "かしら", "type": "NG_SEG"}
|なまけもの|の兄は父の遺産を受け取ると、それを元手にガラス細工の露天商をしていた。	{"comment": "", "curid": 1186715, "id": 1938524, "match_segment_pos": "名詞", "match_segment_surf": "なまけもの", "query": "けもの", "type": "OK"}
|なんか|充実してた、とにかく全部が。	{"comment": "", "curid": 2704206, "id": 1938825, "match_segment_pos": "副詞", "match_segment_surf": "なんか", "query": "なんか", "type": "OK"}
|なんてん|は、改修を経て２００４年にチリ北部のアタカマ砂漠に移設された。	{"comment": "", "curid": 598192, "id": 1938852, "match_segment_pos": "名詞", "match_segment_surf": "なんてん", "query": "なんて", "type": "OK"}
|ばったら|という名前はホットケーキのよう厚く焼き、ひっくり返すときにバタンと音がすることに由来する。	{"comment": "", "curid": 2481014, "id": 1968111, "match_segment_pos": "副詞", "match_segment_surf": "ばったら", "query": "ったら", "type": "OK"}
|ばらかもん|と違い、こちらはギャグコメディとなっている。	{"comment": "", "curid": 1767666, "id": 1968165, "match_segment_pos": "助詞--名詞", "match_segment_surf": "か--もん", "query": "かも", "type": "NG_SEG"}
|ぱじゃま?ソフト|に所属していたかんなぎれいが作った新ブランド。	{"comment": "", "curid": 1173742, "id": 1968257, "match_segment_pos": "名詞", "match_segment_surf": "じゃま", "query": "じゃ", "type": "NG_SEG"}
|ままれぇど|の処女作になる。	{"comment": "", "curid": 667525, "id": 1978103, "match_segment_pos": "接頭辞--形容詞", "match_segment_surf": "ま--まれ", "query": "まま", "type": "NG_SEG"}
|ままれぇど|は、パソコン用アダルトゲームのブランド。	{"comment": "", "curid": 800137, "id": 1978104, "match_segment_pos": "接頭辞--形容詞", "match_segment_surf": "ま--まれ", "query": "まま", "type": "NG_SEG"}
|やらにゃん|は、新潟県胎内市のご当地検定である胎内検定をＰＲするマスコット。	{"comment": "", "curid": 2245394, "id": 2213387, "match_segment_pos": "名詞", "match_segment_surf": "やらにゃん", "query": "やら", "type": "OK"}
|ゆきりん|は日本の固有名詞である。	{"comment": "", "curid": 2060317, "id": 2214314, "match_segment_pos": "名詞--名詞", "match_segment_surf": "ゆき--りん", "query": "きり", "type": "NG_SEG"}
|アフォーダンス|の概念を提唱して生態心理学の領域を切り拓いたことで知られる。	{"comment": "", "curid": 754759, "id": 2245491, "match_segment_pos": "名詞", "match_segment_surf": "アフォーダンス", "query": "ダンス", "type": "OK"}
|アラカン|やったらなんでアカンねん。	{"comment": "", "curid": 2369, "id": 2264860, "match_segment_pos": "助詞", "match_segment_surf": "ねん", "query": "ねん", "type": "OK"}
|リンクルスマホン|が光り出し、それに導かれたかのように２人と同い年くらいの少女が現れる。	{"comment": "固有名詞", "curid": 3321451, "id": 3033698, "match_segment_pos": "UNK", "match_segment_surf": "リンクルスマホン", "query": "スマホ", "type": "OK"}
|何とか|いつも|のように、あちこちと動けるように努力してます。	{"comment": "", "curid": 87388, "id": 3421293, "match_segment_pos": "副詞--副詞", "match_segment_surf": "何とか--いつも", "query": "かい", "type": "OK"}
|株式会社?ぱあとなあ|所属。	{"comment": "", "curid": 2919808, "id": 4822179, "match_segment_pos": "助詞", "match_segment_surf": "なあ", "query": "なあ", "type": "NG_SEG"}
|危ねえ|ったらありゃしねえ。	{"comment": "", "curid": 1116495, "id": 3696325, "match_segment_pos": "形容詞", "match_segment_surf": "危ねえ", "query": "ねえ", "type": "OK"}
|詳細な|あらすじ|は、後述の登場人物の欄を参照。	{"comment": "", "curid": 3225038, "id": 5612209, "match_segment_pos": "形容詞--名詞", "match_segment_surf": "詳細な--あらすじ", "query": "なあ", "type": "OK"}
|村川?梨衣|にとって初のソロＤＶＤである。	{"comment": "", "curid": 3342015, "id": 4778211, "match_segment_pos": "名詞--名詞", "match_segment_surf": "梨--衣", "query": "梨衣", "type": "NG_SEG"}
|木|づかい|運動とは、平成１７年度から林野庁が推進している国産材利用推進のための国民運動。	{"comment": "連濁", "curid": 733809, "id": 4728040, "match_segment_pos": "UNK--接尾辞", "match_segment_surf": "づか--い", "query": "かい", "type": "NG_SEG"}
|遥か|いにしえ|、天界には神と神に従う天使たちがいた。	{"comment": "", "curid": 167642, "id": 5739444, "match_segment_pos": "副詞--名詞", "match_segment_surf": "遥か--いにしえ", "query": "かい", "type": "OK"}
．．．そう、|だから|いつも懐疑的でなくてはいけない。	{"comment": "", "curid": 57888, "id": 230, "match_segment_pos": "接続詞", "match_segment_surf": "だから", "query": "から", "type": "OK"}
．．．など慎重|かつ|計画的に行う必要があり、気軽に行えるとは言い難い状況であった。	{"comment": "", "curid": 1106232, "id": 272, "match_segment_pos": "助詞", "match_segment_surf": "かつ", "query": "かつ", "type": "OK"}
・・・このアホ、首吊りと一緒に寝とるで！こわないの|かい|な。	{"comment": "", "curid": 1840179, "id": 3096664, "match_segment_pos": "助詞", "match_segment_surf": "かい", "query": "かい", "type": "OK"}
・・・駕籠屋なぞに一八呼ばわりされる筋合いは|ねえ|や|。	{"comment": "", "curid": 2160270, "id": 3096755, "match_segment_pos": "名詞", "match_segment_surf": "ねえや", "query": "ねえ", "type": "NG_SEG"}
“先代萩”あります|やろ|。	{"comment": "", "curid": 2369, "id": 930093, "match_segment_pos": "助詞", "match_segment_surf": "やろ", "query": "やろ", "type": "OK"}
０番台の仕様と極力合わせる量産化改造が実施されたが、主要機器は|そのまま|であった|。	{"comment": "", "curid": 26912, "id": 1437, "match_segment_pos": "副詞--判定詞", "match_segment_surf": "そのまま--であった", "query": "まで", "type": "OK"}
１０００年後の未来|かも|しれない。	{"comment": "", "curid": 1244145, "id": 2516, "match_segment_pos": "助詞", "match_segment_surf": "かも", "query": "かも", "type": "OK"}
１００号前後の大作の多数が|京都?大学|の桂キャンパスに収蔵、展示されている。	{"comment": "", "curid": 3032863, "id": 3436, "match_segment_pos": "名詞--名詞", "match_segment_surf": "京都--大学", "query": "京都大学", "type": "OK"}
１０２０形は、|かつて|日本国有鉄道の前身たる鉄道院に在籍したタンク式蒸気機関車である。	{"comment": "", "curid": 1329678, "id": 3937, "match_segment_pos": "副詞", "match_segment_surf": "かつて", "query": "かつ", "type": "OK"}
１０６台の車が参加し、その中にはＦ１元世界王者のデイモン・ヒル|など|も|いた。	{"comment": "", "curid": 1254247, "id": 4560, "match_segment_pos": "助詞--助詞", "match_segment_surf": "など--も", "query": "ども", "type": "OK"}
１０月、反日共系全学連が起こした羽田事件で、中核派の|京都?大学?生|の死者が１人出た。	{"comment": "", "curid": 117073, "id": 12699, "match_segment_pos": "名詞--名詞", "match_segment_surf": "京都--大学生", "query": "京都大学", "type": "OK"}
１０月１０日の|トマト|の日から派生。	{"comment": "", "curid": 123961, "id": 8029, "match_segment_pos": "名詞", "match_segment_surf": "トマト", "query": "トマト", "type": "OK"}
１０月の未勝利戦で初勝利を挙げると、続く５００万条件の|からまつ|賞にも勝利し連勝。	{"comment": "", "curid": 3104461, "id": 13909, "match_segment_pos": "名詞", "match_segment_surf": "からまつ", "query": "から", "type": "OK"}
１０月中旬、メンバーが２名|増える|。	{"comment": "", "curid": 1771622, "id": 14072, "match_segment_pos": "動詞", "match_segment_surf": "増える", "query": "増える", "type": "OK"}
１０歳の頃に母と兄弟が救貧院を訪れたがジョンは誰か|分から|なかったという。	{"comment": "", "curid": 1751381, "id": 14903, "match_segment_pos": "動詞", "match_segment_surf": "分から", "query": "から", "type": "OK"}
１０種類の通常お|たから|アイテムをすべて集めれば、アイテム入手点が１０倍になる。	{"comment": "", "curid": 1372810, "id": 15112, "match_segment_pos": "名詞", "match_segment_surf": "たから", "query": "から", "type": "OK"}
１０代から単身ウィーン|にて|声楽を学ぶ。	{"comment": "", "curid": 3001276, "id": 6011, "match_segment_pos": "助詞", "match_segment_surf": "にて", "query": "にて", "type": "OK"}
１０年間、土地に対するコストが|かから|ないというものである。	{"comment": "", "curid": 2061721, "id": 7320, "match_segment_pos": "動詞", "match_segment_surf": "かから", "query": "から", "type": "OK"}
１１５２年|もしくは|１１５３年に、ニーダロスにはルンドから独立して新たに大司教区が設けられた。	{"comment": "", "curid": 2485741, "id": 16312, "match_segment_pos": "助詞", "match_segment_surf": "もしくは", "query": "もしくは", "type": "OK"}
１１９２年９月にクルチ・アルスラーンが没すると、王族間の争いは|より|激化する。	{"comment": "", "curid": 105567, "id": 17061, "match_segment_pos": "副詞", "match_segment_surf": "より", "query": "より", "type": "OK"}
１１月|または|１２月に開催される。	{"comment": "", "curid": 2423984, "id": 24553, "match_segment_pos": "助詞", "match_segment_surf": "または", "query": "また", "type": "OK"}
１１点先取で勝ちとなるが、１０点でデュースとなり２点差が|つく|まで|続ける。	{"comment": "", "curid": 3368679, "id": 25320, "match_segment_pos": "名詞--助詞", "match_segment_surf": "つくま--で", "query": "まで", "type": "NG_SEG"}
１２１７年に帝国に叛旗を翻した|トマト|部討伐に向かった際に敵の斥侯に捕えられて殺された。	{"comment": "地名?", "curid": 1926123, "id": 26144, "match_segment_pos": "名詞", "match_segment_surf": "トマト", "query": "トマト", "type": "OK"}
１２３６年に初代|かつ|最後の王として即位した。	{"comment": "", "curid": 171919, "id": 26641, "match_segment_pos": "助詞", "match_segment_surf": "かつ", "query": "かつ", "type": "OK"}
１２７０年にトライデニスが大公位に|つく|まで|混乱は収まらなかった。	{"comment": "", "curid": 173782, "id": 27620, "match_segment_pos": "名詞--助詞", "match_segment_surf": "つくま--で", "query": "まで", "type": "NG_SEG"}
１２７４年がラーゲの創設の年と見なされているが、|だからといって|この年に街が造られたというわけではない。	{"comment": "", "curid": 3034165, "id": 27694, "match_segment_pos": "接続詞", "match_segment_surf": "だからといって", "query": "から", "type": "OK"}
１２９手|まで|黒中押勝となり、大竹は名人位を防衛、２連覇となった。	{"comment": "", "curid": 3543309, "id": 28258, "match_segment_pos": "名詞--助詞", "match_segment_surf": "手ま--で", "query": "まで", "type": "NG_SEG"}
１２月、ローソンの|からあげクン|のＣＭに単独で出演。	{"comment": "", "curid": 42675, "id": 34305, "match_segment_pos": "名詞", "match_segment_surf": "からあげクン", "query": "から", "type": "OK"}
１２月１４日に初恋の|宮田|おかつ|が１４歳で急逝。	{"comment": "", "curid": 145289, "id": 30536, "match_segment_pos": "名詞", "match_segment_surf": "かつ", "query": "かつ", "type": "NG_SEG"}
１２歳の時、本人は何も|わから|ないまま母親にダンス学校のオーディションに連れて行かれる。	{"comment": "", "curid": 1024964, "id": 36216, "match_segment_pos": "動詞", "match_segment_surf": "わから", "query": "から", "type": "OK"}
１２時間漂流した末にイギリス海軍の駆逐艦に拾われ、|命からがら|イギリスに到着した。	{"comment": "", "curid": 2856095, "id": 29796, "match_segment_pos": "副詞", "match_segment_surf": "命からがら", "query": "から", "type": "OK"}
１２人は任務を全うすべく義兄弟の盟約を結ぶが、楊志が大雪に|より道|を阻まれる。	{"comment": "", "curid": 1167795, "id": 29112, "match_segment_pos": "名詞", "match_segment_surf": "より道", "query": "より", "type": "OK"}
１５世紀のドイツの田舎町でじじいが|となり|のじじいに石を投げた事が起源。	{"comment": "", "curid": 1126455, "id": 51934, "match_segment_pos": "名詞", "match_segment_surf": "となり", "query": "なり", "type": "OK"}
１６９４年に創建されて、台湾全国の媽祖廟の総本山として|古く?から|崇敬を受けていた。	{"comment": "", "curid": 2294380, "id": 59941, "match_segment_pos": "副詞", "match_segment_surf": "古くから", "query": "から", "type": "OK"}
１６世紀にはヨーロッパの各地に広まり、|いま|でも|家庭の手芸として親しまれている。	{"comment": "", "curid": 166865, "id": 60785, "match_segment_pos": "名詞--助詞", "match_segment_surf": "いま--でも", "query": "まで", "type": "OK"}
１７１３年、ベルリンの宮廷楽団が解散したため、レオポルトは|とびきり|すぐれた音楽家を雇うことができた。	{"comment": "", "curid": 1969682, "id": 64003, "match_segment_pos": "副詞", "match_segment_surf": "とびきり", "query": "きり", "type": "OK"}
１７５５年、戦争が植民地に|および|、ヨーロッパでも拡大した。	{"comment": "", "curid": 2418705, "id": 66945, "match_segment_pos": "動詞", "match_segment_surf": "および", "query": "および", "type": "OK"}
１７世紀ごろ|から|農業地帯、軽工業地帯として栄えてきた。	{"comment": "", "curid": 1239273, "id": 74555, "match_segment_pos": "助詞", "match_segment_surf": "から", "query": "から", "type": "OK"}
１８１５年１２月に病にかかり、以後は|寝たきり|の生活を強いられ、翌年に貧困のうちに死去した。	{"comment": "", "curid": 1229385, "id": 80455, "match_segment_pos": "名詞", "match_segment_surf": "寝たきり", "query": "きり", "type": "OK"}
１８５１年にサラは、咳が|いつまでも|続くようになってしまった。	{"comment": "", "curid": 3412343, "id": 90624, "match_segment_pos": "副詞", "match_segment_surf": "いつまでも", "query": "まで", "type": "OK"}
１８６０年に市長になったが、|いつまで|勤めたかは不明である。	{"comment": "", "curid": 2622472, "id": 94253, "match_segment_pos": "副詞", "match_segment_surf": "いつまで", "query": "まで", "type": "OK"}
１８６６年、先住民を襲撃するため、モルモン教徒の準軍事遠征隊が、西方の奥地にある谷|まで|侵入した。	{"comment": "", "curid": 1485416, "id": 97520, "match_segment_pos": "名詞--助詞", "match_segment_surf": "谷ま--で", "query": "まで", "type": "NG_SEG"}
１８６７年、ヤロブシャ郡最初の製造業であるヤコナ・ミルズは世界最大の|より糸|工場となった。	{"comment": "", "curid": 2719450, "id": 97961, "match_segment_pos": "名詞", "match_segment_surf": "より糸", "query": "より", "type": "OK"}
１８６８年に|またいとこ|のヨハンナ・ベアと結婚。	{"comment": "本質的に曖昧", "curid": 251421, "id": 98572, "match_segment_pos": "名詞", "match_segment_surf": "またいとこ", "query": "また", "type": "OK"}
１８７８年７月にベルリンを訪れ、１８７９年暮れ|まで|そこに滞在する。	{"comment": "", "curid": 1094, "id": 103577, "match_segment_pos": "助詞", "match_segment_surf": "まで", "query": "まで", "type": "OK"}
１８９５年３月６日、２人の男が一頭立て馬車で町に入ってきて、銀行強盗を|やろう|とした。	{"comment": "", "curid": 2967247, "id": 114001, "match_segment_pos": "動詞", "match_segment_surf": "やろう", "query": "やろ", "type": "OK"}
１８ヵ月後、ブロードレイはフォードと袂を|分かつ|。	{"comment": "", "curid": 1348824, "id": 117715, "match_segment_pos": "動詞", "match_segment_surf": "分かつ", "query": "かつ", "type": "OK"}
１８世紀のもっとも偉大なイタリアの建築家であり、|かつ|輝かしいとまで評された図案家。	{"comment": "", "curid": 1515262, "id": 118340, "match_segment_pos": "接続詞", "match_segment_surf": "かつ", "query": "かつ", "type": "OK"}
１９００年代初頭にテレビが発明され、一般家庭に普及すると、動画像は人間にとって|より|身近なものとなる。	{"comment": "", "curid": 10534, "id": 122301, "match_segment_pos": "副詞", "match_segment_surf": "より", "query": "より", "type": "OK"}
１９１１年に中田重治の妻|かつ子|が死去した時には、学院教会の牧師をしていた。	{"comment": "面白い例．「かつ」の曖昧性はあるが，意味的にはありえない", "curid": 1796519, "id": 132730, "match_segment_pos": "名詞", "match_segment_surf": "かつ子", "query": "かつ", "type": "OK"}
１９１３年末までに総額１６６７万１０００ピアストルを配ったのだから、中央銀行|さながら|である。	{"comment": "", "curid": 3541047, "id": 135222, "match_segment_pos": "副詞", "match_segment_surf": "さながら", "query": "ながら", "type": "OK"}
１９２６年９月にエンジンの故障から生じた|きりもみ|事故の結果、信頼はゆらぎ始めた。	{"comment": "", "curid": 2677488, "id": 153374, "match_segment_pos": "名詞", "match_segment_surf": "きりもみ", "query": "きり", "type": "OK"}
１９２７年に、区制施行に|より|中区の町名となる。	{"comment": "", "curid": 3517778, "id": 155232, "match_segment_pos": "動詞", "match_segment_surf": "より", "query": "より", "type": "OK"}
１９２８年、知人の依頼で文楽人形の|かしら|を撮影したのを機に、その魅力に取り付かれる。	{"comment": "", "curid": 952070, "id": 156496, "match_segment_pos": "名詞", "match_segment_surf": "かしら", "query": "かしら", "type": "OK"}
１９２８年最初の労働党内閣が発足したが、２週間|しか|つづか|なかった。	{"comment": "", "curid": 246703, "id": 157295, "match_segment_pos": "助詞--動詞", "match_segment_surf": "しか--つづか", "query": "かつ", "type": "OK"}
１９３０年代には、導入されたいくつかの医学的療法が物議を|かもした|。	{"comment": "", "curid": 715821, "id": 160684, "match_segment_pos": "動詞", "match_segment_surf": "かもした", "query": "かも", "type": "OK"}
１９３３年１月、日蓮会の新年会に出席した若者らは、|このまま|で|はいけないと口々に言い合った。	{"comment": "", "curid": 448647, "id": 164853, "match_segment_pos": "副詞--助詞", "match_segment_surf": "このまま--で", "query": "まで", "type": "OK"}
１９３５年頃には隣接する小湧谷|まで|広がった。	{"comment": "", "curid": 2252928, "id": 169772, "match_segment_pos": "名詞--助詞", "match_segment_surf": "谷ま--で", "query": "まで", "type": "NG_SEG"}
１９３９年４月|まで|に親衛隊少将に昇進。	{"comment": "", "curid": 1740035, "id": 175789, "match_segment_pos": "助詞", "match_segment_surf": "まで", "query": "まで", "type": "OK"}
１９４１年３月、父を満州に残した|まま母|や兄と日本に戻り、東京都立川市の若草幼稚園に入園。	{"comment": "", "curid": 3160, "id": 181107, "match_segment_pos": "名詞", "match_segment_surf": "まま母", "query": "まま", "type": "OK"}
１９４４年２月、群馬県前橋市|にて|生まれた。	{"comment": "", "curid": 3545944, "id": 189039, "match_segment_pos": "助詞", "match_segment_surf": "にて", "query": "にて", "type": "OK"}
