沖縄のバンド|しゃかり|に詞を提供している。	副詞-*	かりに
この日は東経１３５度が本邦一般の|標準?時|として施行された日である。	副詞-*	時として
地球力学時はその後|地球?時|として再定義された。	副詞-*	時として
義英は孝興を投獄し、族之助とその孫の|松賀?稠次|に対し永蟄居を命じた上、松賀家を断絶処分とした。	副詞-*	次に
２回戦に進出するが、榎本喜八らのいた|早稲田?実|に敗れる。	副詞-*	実に
この大会では初戦で、強豪の|鹿児島?実|に０－２で惜敗。	副詞-*	実に
そこで、当時のフォークの名手・|村山?実|に教えを請うたところ、「２４時間ボールを握る」というアドバイスをされ、実践した。	副詞-*	実に
プロボクサー・医師の|川島?実|は実兄。	副詞-*	実は
軍令部部員|源田?実|は「自分はアウトレンジには反対でリンガに出張した時、第一機動部隊司令部に忠告してきた。	副詞-*	実は
「導師」は天族の力を借り憑魔から穢れを祓う|救世?主|として伝承に伝えられている。	副詞-*	主として
１６歳で|茶坊?主|として藩主邸の花畑屋敷で召し抱えられ、藩主に近習。	副詞-*	主として
１９２８年には宗像商事を|船?主|として「宗安丸」の船名で日本船籍となっていた。	副詞-*	主として
１９５０年代以降は|馬?主|として競走馬を走らせており、所有馬には姿三四郎に因んで「スガタ」という冠名を付けていた。	副詞-*	主として
新東和を守るためには、新東和の発行済み株券を購入し、|株?主|としての発言力を持たねばならない。	副詞-*	主として
このため、呉の公子・掩餘は|徐|に、燭庸は鍾吾に逃亡した。	副詞-*	徐に
さらに福盛和男、|戸叶?尚|も合わせて５四球と乱れ、西武打線は５回までに７点を奪い、試合を決めた。	副詞-*	尚も
「常盤」の地名はこの地に山荘を構えた|源常|に由来するとされている。	副詞-*	常に
１９９２年には化石の詳細な記載を含む論文が長谷川、村田、早田、イェール大学の|真鍋?真|により発表されている。	副詞-*	真に
映画「ラストサムライ」出演直後に、総合プロデューサーが|小山田?真|にアプローチし、この企画の話を持ち込んだ。	副詞-*	真に
屈強な男との評判が若い頃からあり、はじめは|韓遂|に下士官として採り立てられた。	副詞-*	遂に
この時に周の桓王が鱓に援助をした事で、鄂侯は|随|に出奔した。	副詞-*	随に
カーソンシンクは|更新?世|に存在したラホンタン湖の水深の深かった部分である。	副詞-*	世に
冒険者時代の勇名は|カシュー?・?アルナーグ?Ｉ?世|にも知られていた。	副詞-*	世にも
『燃える！お兄さん』は、|佐藤?正|による日本の少年向けギャグ漫画作品。	副詞-*	正に
その後、横浜地検検事正、東京地検|検事正|に就任。	副詞-*	正に
その後作曲家|保田?正|に師事し、１９４９年ビクターから「動物あそび」でデビュー。	副詞-*	正に
繁太郎は長男の|正|に剣道を教えた。	副詞-*	正に
１９８０年に山科直治は３５歳の長男・|山科?誠|に社長職を譲り会長職に退いた。	副詞-*	誠に
しかし、長寿２年からは周に入朝するようになり、|武則?天|から遷善可汗の称号を受ける。	副詞-*	天から
淡窓の指針である「敬天」とは、人間は正しいこと、善いことをすれば|天|から報われるとする。	副詞-*	天から
天命とは、|天|から与えられた命令のことである。	副詞-*	天から
ライオットシールドは、もっぱら標準的な男性の|頭|から膝の範囲を十分覆えるほどの長さに設計されている。	副詞-*	頭から
長い脚とくちばしが特徴で、|頭|から翼までの羽毛は褐色の細かいまだらもよう。	副詞-*	頭から
２００６年６月６日、パンクラス初代フェザー級王者決定トーナメント１回戦で|山本?篤|と対戦し、跳び膝蹴りでＫＯ勝ち。	副詞-*	篤と
流山児を経て２０１０年４月に同じ事務所に所属していた、|阪本?篤|とともに温泉ドラゴンを旗揚げ。	副詞-*	篤と
技術系だけでなく事務系も含めた新入社員全員に対し、必ず|やすり?がけ|の特訓を行うことを恒例としている。	副詞-*	必ずや
『赤蝦夷風説考』の筆者で、若き日の|林子?平|に影響を与えた人物。	副詞-*	平に
１０月３日、|並木?凡平|に認められ『小樽新聞』に初めて短歌が掲載され、以後継続的に短歌や随筆、研究などが掲載される。	副詞-*	平に
同年１２月、陸凱や丁奉と謀り孫皓の廃位を計ったが、孫皓の護衛をしていた|留平|に反対されたため、断念した。	副詞-*	平に
「カレンダー」の元になったのは、村上てつやが過去に起こった出来事を|安岡?優|に話したら、歌詞にしてくれた経緯がある。	副詞-*	優に
２００９年６月８日、|越石?優|に１－２判定負け。	副詞-*	優に
なお、当時、東京女子大名誉教授であった|猿谷?要|は、原文と森瑤子の訳文を照合し、異なる点が多いことを確認している。	副詞-*	要は
伊予鉄道社長の|井上?要|は「その時期にあらず」と拒否したところ渡邊、福澤は監督している鉄道院に調停を依頼した。	副詞-*	要は
隊員だった|原田?要|は小園について「とても部下思いの優しい人で、下士官兵も大切にしてくれ、私は非常に尊敬していました。	副詞-*	要は
父|若杉?要|は外交官であり、ニューヨーク総領事を経て日米開戦時の駐米公使を務めた。	副詞-*	要は
